,1
32,"['봉준호', '감독', '영화', '대학', '한국어', '강좌', '교재', '채택', '리더', '미국', '토크', '출연', '시트콤', '영어', '습득', '영화', '해당', '언어', '모국어', '화자', '대상', '제작', '진본', '자료', '외국어', '습득', '도구', '영화', '활용', '수강', '청취', '바탕', '영어', '화자', '실제', '발화', '이해', '능력', '동시', '통역사', '훈련', '방법', '활용', '영어', '사회', '모국어', '화자', '표현', '습득', '활용', '화상', '예정', '영화', '학생', '이해도', '점검', '스크린', '영어', '화상', '진행', '학생', '발음', '이해도', '구두', '실시간', '파악', '구조', '제약', '극복', '블랙보드', '시스템', '방법', '수강', '입장', '웹캠', '마이크', '활성', '권고', '수강', '영어', '청취', '수준', '정확', '파악', '단계', '다수', '영화', '선정', '훈련', '실시', '영어', '표현', '습득', '일반', '영어', '교수법', '동시', '통역사', '훈련', '활용', '효율', '흥미', '영어', '진행', '영화', '내외', '유용', '표현', '선정', '반복', '음성', '합성', '파일', '블랙보드', '업로드', '활용', '항목', '방역', '조정', '가능']"
33,"['재무회계', '실체', '외부', '정보', '이용자', '기업', '재무', '상태', '경영성과', '재무제표', '중점', '회계학', '분야', '재무회계', '단계', '회계', '정보', '이해', '복식부기', '기초', '원리', '재무제표', '작성', '중심', '회계처리', '공부', '예정', '회계처리', '우리', '나라', '기업', '회계', '기준', '중심', '설명', '학생', '개념', '이해', '계정', '기업', '회계', '기준', '회계처리', '방법', '이해', '도모', '회계학', '학생', '회계', '기초', '개념', '원리', '회계', '문제', '파악', '해결', '기초', '능력', '배양', '체크', '과제', '부여', '시행', '방법', '보조', '자료', '활용', '진행', '교재', '기초', '개념', '설명', '제풀이', '진행', '의사소통', '이메일']"
34,"['구체', '일정', '전달', '예정', '주말', '토요일', '일요일', '집중', '한강', '윈드서핑', '바람', '강약', '균형', '보드', '세일', '조정', '세일', '세일', '바람', '물살', '질주', '사람', '바람', '보드', '세일', '하나', '물살', '윈드서핑', '물위', '보그', '조정', '균형감각', '세일', '조정', '능력', '윈드서핑', '기본기', '서핑', '집중', '날짜', '주말', '진행', '구체', '일정', '전달', '예정', '주말', '토요일', '일요일', '집중', '한강', '윈드서핑', '집중', '한강', '뚝섬유원지역', '윈드서핑', '클럽', '진행', '집중', '날짜', '주말', '진행']"
35,"['생명', '응급상황', '생명', '유지', '효과', '대처', '구조', '기술', '활용', '능력', '배양', '주요', '선진국', '구급법', '우리', '나라', '대표', '응급처치', '교육', '기관', '프로그램', '비교', '분석', '응급상황', '효과', '방법론', '단계', '과정', '응급상황', '발생', '현장', '생명', '보전', '육체', '손상', '방지', '경감', '의학', '지식', '기술', '숙련도', '향상', '응급처치', '방법론', '기반', '본인', '가족', '사람', '안전', '사원', '활동', '능력', '배양']"
36,"['축구', '구기', '종목', '역사', '전통', '세계', '확보', '축구', '충족', '조건', '경기', '규칙', '기초', '기술', '리프팅', '패스', '트래핑', '스로인', '드리블', '응용', '기술', '게임', '망라', '실습', '중요', '축구', '실천', '교양인', '생활', '체육', '스포츠', '육성', '공동체', '기여']"
37,"['축구', '구기', '종목', '역사', '전통', '세계', '확보', '축구', '충족', '조건', '경기', '규칙', '기초', '기술', '리프팅', '패스', '트래핑', '스로인', '드리블', '응용', '기술', '게임', '망라', '실습', '중요', '축구', '실천', '교양인', '생활', '체육', '스포츠', '육성', '공동체', '기여']"
38,"['생활', '체육', '자리', '테니스', '정확', '경기', '방법', '예절', '실전', '필요', '전술', '교수', '여가', '선용', '활용', '건강', '밑거름', '의의', '실기', '위주', '레벨', '테스트', '수준', '그룹', '레슨', '연습', '테니스', '기초', '실력', '배양', '기대', '첫째', '테니스', '기본예절', '숙지', '둘째', '개개인', '수준', '기술', '셋째', '단식', '복식', '게임']"
39,"['테니스', '기초', '기술', '포워드', '서비스', '발리', '로빙', '스매싱', '테니스', '기초', '기술', '단식', '복식', '경기', '규칙', '이해', '경기', '테니스', '경기', '필요', '체력', '요소', '개인', '훈련']"
40,"['배드민턴', '단위', '면적', '운동량', '종목', '신체', '정신', '건강', '유지', '도움', '스포츠', '골목길', '약수터', '운동장', '유희', '생각', '그것', '배드민턴', '경기', '기술', '기회', '실내', '배드민턴', '경기', '사람', '생각', '배드민턴', '다양', '기술', '게임', '진행', '규칙', '매너', '사회', '정서', '함양', '이번', '배드민턴', '종목', '신체', '움직임', '정신', '스트레스', '해소', '건강', '대학', '생활', '게임', '정확', '규칙', '서로', '매너', '협동', '정신', '인간', '관계', '형성', '기여']"
41,"['배드민턴', '단위', '면적', '운동량', '종목', '신체', '정신', '건강', '유지', '도움', '스포츠', '골목길', '약수터', '운동장', '유희', '생각', '그것', '배드민턴', '경기', '기술', '기회', '실내', '배드민턴', '경기', '사람', '생각', '배드민턴', '다양', '기술', '게임', '진행', '규칙', '매너', '사회', '정서', '함양', '이번', '배드민턴', '종목', '신체', '움직임', '정신', '스트레스', '해소', '건강', '대학', '생활', '게임', '정확', '규칙', '서로', '매너', '협동', '정신', '인간', '관계', '형성', '기여']"
