,과목번호,과목명,교수명,수업코드,평점
472,510,IC-PBL과비전설계,KIM TAE HYUN,23469,0.00
473,511,IC-PBL과비전설계,이해준,23488,0.00
474,512,아카데믹글쓰기,이명연,23493,2.91
475,513,초급중국어,김억섭,23502,0.00
476,514,IC-PBL과비전설계,김동환,23511,0.00
477,515,인공지능과미래사회,조문기,23538,0.00
478,516,소프트웨어의이해,윤종원,23554,4.29
479,517,인공지능과미래사회,송원선,23556,0.00
480,518,인공지능과미래사회,김현하,23557,0.00
481,519,IC-PBL과비전설계,강경태,23566,0.00
482,520,학술영어1:통합,Mark David Lloyd,23570,4.89
483,521,인공지능과미래사회,송원선,23590,0.00
484,522,인공지능과미래사회,김현하,23591,0.00
485,523,IC-PBL과비전설계,경규형,23596,0.00
486,524,아카데믹글쓰기,강경화,23627,4.63
487,525,인공지능과미래사회,홍성문,23628,0.00
488,526,학술영어1:통합,George Gregory Young,23629,4.86
489,527,IC-PBL과비전설계,정혜영,23639,0.00
490,528,인공지능과미래사회,조문기,23642,0.00
491,529,IC-PBL과비전설계,강보수,23655,0.00
492,530,인공지능과미래사회,조문기,23661,0.00
493,531,IC-PBL과비전설계,서혜명,23672,0.00
494,532,인공지능과미래사회,홍성문,23676,0.00
495,533,IC-PBL과비전설계,신동수,23687,0.00
496,534,인공지능과미래사회,조상욱,23697,4.80
497,535,IC-PBL과비전설계,김용신,23705,0.00
498,536,인공지능과미래사회,조상욱,23709,4.80
499,537,IC-PBL과비전설계,신성원,23721,0.00
500,538,IC-PBL과비전설계,이강민,23733,0.00
501,539,IC-PBL과비전설계,이인숙,23745,0.00
502,540,IC-PBL과비전설계,우형진,23778,0.00
503,541,IC-PBL과비전설계,한정완,23791,0.00
504,542,IC-PBL과비전설계,노승관,23805,0.00
505,543,인공지능과미래사회,최성원,23877,1.13
506,544,IC-PBL과비전설계,류근,23896,0.00
507,545,IC-PBL과비전설계,배대성,23897,0.00
508,546,IC-PBL과비전설계,안강호,23898,0.00
509,547,IC-PBL과비전설계,안유민,23899,0.00
510,548,IC-PBL과비전설계,양현익,23900,0.00
511,549,IC-PBL과비전설계,오제훈,23901,5.00
512,550,IC-PBL과비전설계,윤준용,23902,0.00
513,551,IC-PBL과비전설계,이기형,23903,0.00
514,552,IC-PBL과비전설계,이원철,23905,0.00
515,553,IC-PBL과비전설계,조남규,23906,0.00
516,554,IC-PBL과비전설계,최낙삼,23907,0.00
517,555,IC-PBL과비전설계,최준명,23908,0.00
518,556,IC-PBL과비전설계,홍석준,23909,0.00
519,557,IC-PBL과비전설계,김영득,23910,0.00
520,558,IC-PBL과비전설계,김병호,23929,0.00
521,559,IC-PBL과비전설계,김성민,23930,5.00
522,560,IC-PBL과비전설계,김정현,23931,0.00
523,561,IC-PBL과비전설계,남해운,23932,0.00
